From,To
1421840_at,11303
1419103_a_at,66082
1419103_a_at,227393
1452466_a_at,19654
1425697_at,66244
1417929_at,50934
1415758_at,72313
1426462_at,268566
1455900_x_at,21817
1448720_at,67144
1420430_a_at,67119
1448344_at,100038969
1448344_at,627835
1448344_at,665522
1448344_at,671641
1448344_at,665611
1448344_at,665325
1448344_at,676277
1448344_at,665463
1448344_at,100038978
1448344_at,100039751
1448344_at,434843
1448344_at,665281
1448344_at,100039828
1448344_at,670832
1448344_at,665579
1448344_at,668406
1448344_at,432865
1448344_at,626048
1448344_at,665364
1448344_at,676774
1448344_at,668354
1448344_at,672959
1448344_at,20042
1416611_at,24044
1431619_a_at,94245
1450172_at,18771
1421273_at,67296
1437294_at,50912
1436990_s_at,103172
1420717_at,68243
1426160_a_at,20872
1449874_at,17087
1448991_a_at,100047943
1422214_at,104443
1426940_at,214597
1421306_a_at,79221
1448373_at,67681
1448373_at,433550
1434195_at,244954
1434633_at,12914
1434419_s_at,230908
1434419_s_at,668744
1418750_at,140571
1451804_a_at,68732
1417501_at,50762
1415872_at,59013
1422126_a_at,67725
1422872_at,12167
1424665_at,237943
1418826_at,69774
1418780_at,56050
1452531_at,12394
1449852_a_at,98878
1424763_at,75564
1452117_a_at,23880
1436854_at,22064
1423672_at,72421
1415903_at,105727
1423365_at,12291
1428073_a_at,19069
1419046_at,59053
1415964_at,20249
1452337_at,100047736
1452337_at,104732
1438354_x_at,218501
1438354_x_at,71994
1438354_x_at,100047856
1451014_at,26563
1419165_at,26466
1451469_at,338349
1416622_at,94254
1422915_at,14459
1451275_at,75089
1450309_at,56079
1427492_at,69693
1431435_at,76142
1435315_s_at,67420
1427176_s_at,233066
1450261_a_at,20493
1420516_at,50518
1422817_at,14729
1416023_at,14077
1416023_at,100047867
1448318_at,11520
1448676_at,12323
1422032_a_at,65098
1427947_at,232987
1418570_at,59287
1452241_at,235559
1449231_at,63872
1427596_at,22097
1423582_at,50796
1426215_at,13195
1418197_at,22227
1436803_a_at,66218
1427397_at,212127
1424825_a_at,14663
1438177_x_at,100048085
1425525_a_at,18438
1415919_at,18146
1451933_a_at,56092
1426648_at,17164
1427003_at,26931
1451258_at,72373
1449020_at,70310
1449020_at,100048758
1426846_at,320394
1424238_at,209011
1416090_at,100044400
1427296_at,218236
1438302_at,233490
1453016_at,72938
1431792_a_at,100047492
1431792_a_at,71728
1418393_a_at,16404
1449352_at,56626
1452373_at,100043982
1452373_at,76719
1419685_at,19704
1416619_at,74048
1421191_s_at,94221
1449930_a_at,66256
1434027_at,53902
1423634_at,57911
1433940_at,100048812
1433940_at,216873
1426723_at,67561
1451070_at,14567
1448847_at,26943
1423884_at,21771
1421055_at,50523
1428380_at,381629
1420571_at,19111
1431231_at,97114
1431231_at,15077
1431231_at,319151
1431231_at,15267
1431231_at,319150
1431231_at,260423
1431231_at,319149
1431231_at,319192
1431231_at,319148
1431231_at,319154
1452374_at,218100
1419684_at,20307
1423903_at,52118
1452098_at,214901
1431119_at,69387
1420061_s_at,100552
1460266_at,67523
1424582_at,69923
1424582_at,667266
1449025_at,15959
1421078_at,69852
1450631_x_at,23855
1450631_x_at,13233
1450631_x_at,13234
1450631_x_at,100041811
1450631_x_at,13236
1450631_x_at,13237
1450631_x_at,13229
1450631_x_at,100046144
1450631_x_at,13226
1450631_x_at,13216
1450631_x_at,100044287
1450631_x_at,497114
1450631_x_at,13243
1450631_x_at,13242
1450631_x_at,503491
1450631_x_at,13241
1450631_x_at,13240
1450631_x_at,13230
1450631_x_at,626682
1450631_x_at,100294660
1450631_x_at,13232
1450631_x_at,13231
1425548_a_at,16988
1417790_at,13448
1418355_at,53322
1421630_at,22767
1424954_a_at,18717
1418302_at,54397
1425150_at,209186
1455421_x_at,76156
1424813_at,105428
1432249_a_at,71991
1422543_at,76378
1423305_at,56219
1448942_at,66066
1428477_at,68626
