From,To
1421840_at,ABCA1
1419103_a_at,Gm1833
1419103_a_at,ABHD6
1452466_a_at,RBM6
1425697_at,SDCCAG1
1417929_at,SLC7A8
1415758_at,FRYL
1426462_at,GPHN
1455900_x_at,tgm2
1448720_at,LRRC40
1420430_a_at,Ccdc159
1448344_at,Gm6646
1448344_at,Gm12334
1448344_at,Gm7643
1448344_at,Gm7698
1448344_at,Gm16389
1448344_at,LOC676774
1448344_at,Gm14958
1448344_at,Gm7601
1448344_at,Gm16424
1448344_at,rps12
1448344_at,Gm16422
1448344_at,Gm7711
1448344_at,Gm15887
1448344_at,Gm9122
1448344_at,Gm14059
1448344_at,Gm5642
1448344_at,Gm10063
1448344_at,Gm5462
1448344_at,LOC676277
1448344_at,Gm9153
1448344_at,Gm7671
1448344_at,Gm7567
1448344_at,Gm7586
1416611_at,SCAMP2
1431619_a_at,Dtnbp1
1450172_at,Pknox1
1421273_at,Socs4
1437294_at,EXOSC10
1436990_s_at,chchd10
1420717_at,A930018P22Rik
1426160_a_at,STK16
1449874_at,LY96
1448991_a_at,LOC100047943
1422214_at,NPFFR2
1426940_at,SIDT2
1421306_a_at,hdac9
1448373_at,MRPL18
1448373_at,Gm13675
1434195_at,PRSS35
1434633_at,CREBBP
1434419_s_at,TARDBP
1434419_s_at,Gm13886
1418750_at,PLXNB3
1451804_a_at,Lrrc16a
1417501_at,FBXO6
1415872_at,Hnrnph1
1422126_a_at,Nudt13
1422872_at,Bmpr1b
1424665_at,GPATCH8
1418826_at,Ms4a6b
1418780_at,CYP39A1
1452531_at,Runx1
1449852_a_at,Ehd4
1424763_at,RSPH9
1452117_a_at,FYB
1436854_at,TRPC2
1423672_at,TTC30B
1415903_at,SLC38A1
1423365_at,CACNA1G
1428073_a_at,Nup88
1419046_at,Brp16
1415964_at,Scd1
1452337_at,LOC100047736
1452337_at,4930427A07Rik
1438354_x_at,Gm4815
1438354_x_at,cnn3
1438354_x_at,LOC100047856
1451014_at,ROR1
1419165_at,Zfp260
1451469_at,Cntln
1416622_at,WBSCR16
1422915_at,GAST
1451275_at,UHRF1BP1L
1450309_at,Astn2
1427492_at,POF1B
1431435_at,ppp1r14c
1435315_s_at,far1
1427176_s_at,AI428936
1450261_a_at,SLC10A1
1420516_at,A
1422817_at,GP5
1416023_at,LOC100047867
1416023_at,fabp3
1448318_at,PLIN2
1448676_at,Camk2b
1422032_a_at,zfand6
1427947_at,B9D2
1418570_at,NCSTN
1452241_at,TOPBP1
1449231_at,Zfp296
1427596_at,TSIX
1423582_at,dmrt1
1426215_at,ddc
1418197_at,UCP1
1436803_a_at,NDUFB9
1427397_at,2810046L04Rik
1424825_a_at,GLYCAM1
1438177_x_at,LOC100048085
1425525_a_at,P2RX4
1415919_at,NPDC1
1451933_a_at,Cts7
1426648_at,MAPKAPK2
1427003_at,PPP2R5C
1451258_at,PSCA
1449020_at,LOC100048758
1449020_at,Plscr3
1426846_at,CENPT
1424238_at,Sirt7
1416090_at,LOC100044400
1427296_at,FAM120A
1438302_at,Crebzf
1453016_at,hspb11
1431792_a_at,LOC100047492
1431792_a_at,Stk11ip
1418393_a_at,ITGA7
1449352_at,Poll
1452373_at,LOC100043982
1452373_at,1700081L11Rik
1419685_at,UPF1
1416619_at,4632428N05Rik
1421191_s_at,GOPC
1449930_a_at,ssr2
1434027_at,Rcan3
1423634_at,GSDMA
1433940_at,SPAG7
1433940_at,LOC100048812
1426723_at,WDR48
1451070_at,GDI1
1448847_at,SERINC3
1423884_at,CIRH1A
1421055_at,Lats2
1428380_at,0610007C21Rik
1420571_at,Prl6a1
1431231_at,HIST2H3B
1431231_at,Hist2h2aa2
1431231_at,HIST1H3B
1431231_at,Hist2h3c1
1431231_at,Hist2h2aa1
1431231_at,HIST1H3C
1431231_at,Hist2h3c2
1431231_at,HIST1H3D
1431231_at,HIST1H3E
1431231_at,HIST1H3F
1452374_at,Zfp322a
1419684_at,ccl8
1423903_at,PVR
1452098_at,Chtf18
1431119_at,DNAJB13
1420061_s_at,AA675344
1460266_at,1700094J05Rik
1424582_at,Gm8546
1424582_at,AGK
1449025_at,Ifit3
1421078_at,tcf23
1450631_x_at,Gm6696
1450631_x_at,Defa7
1450631_x_at,Defa8
1450631_x_at,Defa9
1450631_x_at,Defa10
1450631_x_at,Defa23
1450631_x_at,Defa24
1450631_x_at,Defa25
1450631_x_at,Defa13
1450631_x_at,Defa2
1450631_x_at,Defa14
1450631_x_at,Defa11
1450631_x_at,Defa12
1450631_x_at,LOC100044287
1450631_x_at,Gm15299
1450631_x_at,DEFA6
1450631_x_at,Defa15
1450631_x_at,LOC100046144
1450631_x_at,Defa17
1450631_x_at,DEFA3
1450631_x_at,Defa-rs7
1450631_x_at,DEFA1
1425548_a_at,Lst1
1417790_at,Dok1
1418355_at,nucb2
1421630_at,Zfy1
1424954_a_at,PIP5K1C
1418302_at,Ppt2
1425150_at,Acnat2
1455421_x_at,Fam131b
1424813_at,Fam149b
1432249_a_at,ERCC8
1422543_at,Ropn1
1423305_at,EXTL1
1448942_at,GNG11
1428477_at,ELAC2
1420226_x_at,HOXA4
1422196_at,Htr5b
1421427_at,COL25A1
1427321_s_at,cxadr
1419611_at,4632415L05Rik
1426507_at,IL1F5
1434868_at,4933431E20Rik
1450570_a_at,Cd19
1448172_at,Mdh1
1460294_at,ATP8A2
1422763_at,GIPC1
1422572_at,RHOG
1455940_x_at,Wdr6
1449669_at,Rabif
1418775_at,AI837181
1416097_at,LRRC4
1417988_at,Resp18
1424817_at,Spef1
1431745_a_at,Zc3h14
1422355_at,TAAR1
1426070_a_at,Kcnd3
1450131_a_at,BSPRY
1422806_x_at,Ing3
1415975_at,carhsp1
1415975_at,Gm9791
1423754_at,ifitm3
1427491_at,nsun6
1448461_a_at,thoc7
1448461_a_at,LOC100044980
1427179_at,KRT33B
1449278_at,LOC100047634
1415795_at,Spin3
1415795_at,LOC100046080
1415795_at,spin1
1460408_at,GABRG1
1417627_a_at,limk1
1420796_at,AHRR
1422946_a_at,dnmt1
1426982_at,FLYWCH1
1417445_at,NDC80
1434378_a_at,MXD4
1451326_at,ABHD14B
1421396_at,PCSK1
1460249_at,LNX2
1420510_at,LOC636713
1448757_at,PML
1427484_at,EML5
1420628_at,LOC100045958
1420628_at,purA
1437226_x_at,Marcksl1-ps3
1437226_x_at,MARCKSL1
1420110_s_at,Zfp334
1422326_at,G6pd2
1460243_at,Sptlc2
1438164_x_at,FLOT2
1430292_a_at,1810030N24Rik
1438174_x_at,PPP2R1A
1451983_at,Irx1
1436926_at,esrrb
1422906_at,Abcg2
1426958_at,rps9
1426958_at,Gm5905
1417280_at,Slc17a1
1420278_at,BC048599
1431624_a_at,Rnf219
1428282_at,TBCE
1421493_a_at,RGS20
1429016_at,Ankzf1
1417591_at,PTGES2
1427809_at,LPHN3
1435055_a_at,TOM1
1435055_a_at,Gm5884
1416880_at,mcl1
1452669_at,FAM53C
1421747_at,esrrg
1452767_at,RRBP1
1450646_at,cyp51
1453621_at,LOC100044696
1420714_at,LBX2
1426595_at,SLC18A1
1422376_at,Vmn1r50
1450541_at,PVT1
1419252_at,EPS15
1450174_at,PTPRT
1426034_a_at,Runx2
1416272_at,MAPKSP1
