Symbol,Affi_ID
Ralgds,1460634_at
Cbfb,1460716_a_at
Fastk,1460635_at
Ddb1,1415735_at
Pfdn5,1460637_s_at
Ddx24,1415713_a_at
Atp6v0d1,1415671_at
Rfk,1415737_at
Yars,1460638_at
Txndc12,1415738_at
Golga7,1415672_at
Psph,1415673_at
Trappc4,1415674_a_at
2310022K01Rik /// 3100004P22Rik,1460641_a_at
3100004P22Rik,1415739_at
Dpm2,1415675_at
Psmb5,1415676_a_at
Psmc5,1415740_at
Tmem165,1415741_at
Ell,1460643_at
Ctbp1 /// LOC100045360,1415702_a_at
Aup1,1415742_at
Bckdk,1460644_at
Dhrs1,1415677_at
Hdac5,1415743_at
Chordc1,1460645_at
Csnk2a2,1460646_at
Nr2f6,1460647_a_at
H2-Ke2,1415744_at
Dscr3,1415745_a_at
Irak1,1460649_at
Psenen,1415679_at
Itch,1415769_at
Anapc1,1415680_at
Cic,1415746_at
Mrpl43,1415681_at
Lat,1460651_at
Esrra,1460652_at
Nmt1,1415683_at
Atg5,1415684_at
Mtch1,1460718_s_at
Mad2l1bp,1415720_s_at
Slc30a3,1460654_at
Ube2r2,1415768_a_at
Mtif2,1415685_at
Trpc4ap,1460720_at
LOC100038858 /// LOC100039624 /// LOC100044184 /// Sft2d1,1460656_a_at
Wnt10a,1460657_at
Cdc42,1460708_s_at
Rer1,1460706_s_at
Edg3,1460661_at
Dctn5,1415748_a_at
Ikzf4,1460664_at
Soat2,1460722_at
Mc5r,1460723_at
Rragc,1415749_a_at
U90926,1460667_at
Psap,1415687_a_at
Snapin,1415756_a_at
Ap2a1,1460724_at
Xpa,1460725_at
Ube2g1,1415688_at
Gal,1460668_at
Zkscan3,1415689_s_at
Adss,1460726_at
Riok3,1460670_at
Mrpl27,1415690_at
Dlg1 /// LOC100047603,1415691_at
Canx,1415692_s_at
LOC100042008 /// LOC100044627 /// LOC100046085 /// Rpl23,1460680_a_at
LOC100042008 /// LOC100046085 /// Rpl23,1415701_x_at
Ercc2,1460727_at
Gpx1,1460671_at
Ing4,1460728_s_at
Psma1,1415695_at
2410002F23Rik,1460672_at
Tbl3,1415750_at
Eif2b1,1460730_at
Fpgs,1460673_at
Sar1a,1415696_at
Hp1bp3,1415751_at
Cdv3,1415704_a_at
Ube2v1,1415755_a_at
Golm1,1415698_at
Paqr7,1460674_at
BC031181,1415752_at
Vta1,1415722_a_at
Gps1,1415699_a_at
Igsf8,1460675_at
Josd1,1460676_at
D10Bwg1364e,1415753_at
Spats2,1460677_at
Ssr3,1415700_a_at
1200013P24Rik,1415721_a_at
Polr2f,1415754_at
Ceacam1,1460681_at
Ceacam1 /// Ceacam2,1460682_s_at
Tead4,1460683_at
Tm7sf2,1460684_at
Armc1,1415719_s_at
Ppl,1460732_a_at
Timm17b,1460685_at
9130011J15Rik,1415705_at
Copa,1415706_at
Anapc2,1415707_at
Gbf1,1415709_s_at
Unc119b,1460688_s_at
D15Wsu75e,1460689_at
BC003940,1460690_at
Zfp598,1460691_at
Ehmt2,1460692_at
Cox18,1415710_at
Arfgef1,1415711_at
Col9a3,1460693_a_at
Svil,1460694_s_at
A230054D04Rik,1460736_at
Fryl,1415758_at
2010111I01Rik,1460695_a_at
BC026585,1460696_at
Atox1,1415760_s_at
2610209M04Rik,1460697_s_at
Sec11c,1460698_a_at
Tmem129,1415715_at
LOC100043572 /// LOC100043813 /// LOC100046960 /// LOC100047537 /// Rps27,1415716_a_at
LOC100043030 /// LOC100043572 /// LOC100043692 /// LOC100046960 /// LOC100048187 /// LOC100048411 /// Rps27,1460699_at
Igbp1,1460737_at
4931406I20Rik,1415717_at
Mrpl52,1415761_at
Triap1,1460702_at
Ascc1,1460703_at
2510006D16Rik,1415763_a_at
Rfng,1460704_at
